
> meowsliver@0.1.0 dev
> next dev

▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.41:3000

✓ Starting...
✓ Ready in 1097ms
 GET / 200 in 2.7s (compile: 2.5s, render: 254ms)
 GET /accounts/1 200 in 21ms (compile: 8ms, render: 14ms)
 GET /api/accounts/1 200 in 26ms (compile: 3ms, render: 23ms)
 GET /api/accounts/1 200 in 22ms (compile: 1393µs, render: 21ms)
 GET /accounts 200 in 31ms (compile: 8ms, render: 23ms)
 GET /reports 200 in 778ms (compile: 759ms, render: 18ms)
 GET / 200 in 28ms (compile: 9ms, render: 19ms)
 GET /api/savings-goals 200 in 33ms (compile: 4ms, render: 29ms)
 GET /api/savings-goals 200 in 35ms (compile: 7ms, render: 27ms)
 GET /accounts 200 in 25ms (compile: 5ms, render: 19ms)
 GET /accounts/1 200 in 29ms (compile: 12ms, render: 17ms)
 GET /api/accounts/1 200 in 45ms (compile: 12ms, render: 33ms)
 GET /api/accounts/1 200 in 19ms (compile: 1291µs, render: 18ms)
 GET /accounts 200 in 15ms (compile: 5ms, render: 10ms)
 GET / 200 in 25ms (compile: 7ms, render: 19ms)
 GET /api/savings-goals 200 in 42ms (compile: 16ms, render: 26ms)
 GET /api/savings-goals 200 in 44ms (compile: 4ms, render: 40ms)
 GET /transactions 200 in 336ms (compile: 315ms, render: 21ms)
 GET /import 200 in 563ms (compile: 534ms, render: 30ms)
 GET / 200 in 26ms (compile: 8ms, render: 18ms)
 GET /api/savings-goals 200 in 18ms (compile: 2ms, render: 16ms)
 GET /api/savings-goals 200 in 28ms (compile: 12ms, render: 16ms)
 GET /buckets 200 in 431ms (compile: 415ms, render: 16ms)
 GET /api/savings-goals 200 in 26ms (compile: 5ms, render: 22ms)
 GET /api/savings-goals 200 in 45ms (compile: 10ms, render: 35ms)
 GET /investments 200 in 377ms (compile: 367ms, render: 10ms)
 GET /reports 200 in 24ms (compile: 5ms, render: 18ms)
 GET /investments 200 in 18ms (compile: 4ms, render: 14ms)
 GET /accounts 200 in 28ms (compile: 7ms, render: 21ms)
 GET /transactions 200 in 23ms (compile: 3ms, render: 19ms)
 GET / 200 in 13ms (compile: 5ms, render: 8ms)
 GET /api/savings-goals 200 in 33ms (compile: 4ms, render: 29ms)
 GET /api/savings-goals 200 in 24ms (compile: 2ms, render: 22ms)
 GET /accounts 200 in 13ms (compile: 4ms, render: 9ms)
 GET /transactions 200 in 14ms (compile: 5ms, render: 9ms)
 GET /import 200 in 13ms (compile: 5ms, render: 9ms)
 GET /import 200 in 11ms (compile: 4ms, render: 8ms)
 GET /buckets 200 in 12ms (compile: 4ms, render: 8ms)
 GET /api/savings-goals 200 in 8ms (compile: 1782µs, render: 6ms)
 GET /api/savings-goals 200 in 14ms (compile: 5ms, render: 9ms)
 GET / 200 in 25ms (compile: 6ms, render: 19ms)
 GET /api/savings-goals 200 in 14ms (compile: 4ms, render: 10ms)
 GET /api/savings-goals 200 in 14ms (compile: 9ms, render: 5ms)
 GET /reports/2025/3 200 in 1087ms (compile: 1031ms, render: 56ms)
 GET /reports/2025/3 200 in 51ms (compile: 8ms, render: 43ms)
 GET /reports/2025/4 200 in 26ms (compile: 9ms, render: 17ms)
 GET /reports/2026 404 in 317ms (compile: 277ms, render: 40ms)
 GET /api/accounts 200 in 28ms (compile: 9ms, render: 18ms)
 GET /api/transactions 200 in 43ms (compile: 3ms, render: 40ms)
 GET / 200 in 12ms (compile: 3ms, render: 9ms)
 GET /api/savings-goals 200 in 20ms (compile: 6ms, render: 15ms)
 GET /api/savings-goals 200 in 32ms (compile: 2ms, render: 30ms)
 GET /accounts 200 in 25ms (compile: 6ms, render: 19ms)
 GET / 200 in 23ms (compile: 5ms, render: 19ms)
 GET /api/savings-goals 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/savings-goals 200 in 12ms (compile: 8ms, render: 5ms)
 GET /reports/2026/2 200 in 33ms (compile: 9ms, render: 24ms)
 GET / 200 in 14ms (compile: 4ms, render: 10ms)
 GET /api/savings-goals 200 in 39ms (compile: 5ms, render: 33ms)
 GET /api/savings-goals 200 in 40ms (compile: 15ms, render: 25ms)
 GET /accounts 200 in 26ms (compile: 6ms, render: 20ms)
 GET /transactions 200 in 26ms (compile: 8ms, render: 18ms)
 GET /import 200 in 24ms (compile: 6ms, render: 18ms)
 GET /buckets 200 in 24ms (compile: 6ms, render: 18ms)
 GET /api/savings-goals 200 in 24ms (compile: 1766µs, render: 22ms)
 GET /api/savings-goals 200 in 20ms (compile: 3ms, render: 17ms)
 GET /import 200 in 26ms (compile: 5ms, render: 21ms)
 GET /investments 200 in 42ms (compile: 14ms, render: 28ms)
 GET /reports 200 in 25ms (compile: 7ms, render: 19ms)
 GET /buckets 200 in 12ms (compile: 2ms, render: 10ms)
 GET /api/savings-goals 200 in 72ms (compile: 1491µs, render: 71ms)
 GET /api/savings-goals 200 in 75ms (compile: 8ms, render: 67ms)
 GET /import 200 in 24ms (compile: 7ms, render: 17ms)
 GET /buckets 200 in 22ms (compile: 3ms, render: 19ms)
 GET /api/savings-goals 200 in 14ms (compile: 3ms, render: 11ms)
 GET /api/savings-goals 200 in 13ms (compile: 8ms, render: 5ms)
 GET /investments 200 in 25ms (compile: 5ms, render: 20ms)
 GET / 200 in 23ms (compile: 5ms, render: 17ms)
 GET /api/savings-goals 200 in 17ms (compile: 3ms, render: 14ms)
 GET /api/savings-goals 200 in 18ms (compile: 11ms, render: 7ms)
 GET /accounts 200 in 14ms (compile: 3ms, render: 11ms)
✓ Compiled in 142ms
 GET /accounts 200 in 288ms (compile: 166ms, render: 123ms)
 GET /accounts 200 in 263ms (compile: 112ms, render: 151ms)
✓ Compiled in 1ms
 GET /api/accounts 200 in 49ms (compile: 11ms, render: 38ms)
 GET /api/transactions 200 in 69ms (compile: 1460µs, render: 68ms)
 GET /accounts/1 200 in 28ms (compile: 12ms, render: 16ms)
 GET /api/accounts/1 200 in 20ms (compile: 5ms, render: 15ms)
 GET /api/accounts/1 200 in 21ms (compile: 8ms, render: 13ms)
 GET /accounts/1 200 in 14ms (compile: 3ms, render: 11ms)
 GET /api/accounts/1 200 in 16ms (compile: 5ms, render: 11ms)
 GET /api/accounts/1 200 in 21ms (compile: 8ms, render: 13ms)
✓ Compiled in 317ms
 GET /accounts 200 in 89ms (compile: 67ms, render: 22ms)
 GET /accounts 200 in 156ms (compile: 18ms, render: 138ms)
 GET /api/accounts 200 in 30ms (compile: 11ms, render: 20ms)
 GET /api/transactions 200 in 47ms (compile: 1962µs, render: 45ms)
 GET / 200 in 101ms (compile: 83ms, render: 18ms)
 GET /api/savings-goals 200 in 16ms (compile: 6ms, render: 10ms)
 GET /api/savings-goals 200 in 32ms (compile: 1579µs, render: 30ms)
 GET /accounts 200 in 25ms (compile: 6ms, render: 19ms)
 GET /investments 200 in 142ms (compile: 126ms, render: 16ms)
✓ Compiled in 244ms
✓ Compiled in 300ms
 GET /investments 200 in 242ms (compile: 108ms, render: 135ms)
✓ Compiled in 85ms
✓ Compiled in 66ms
✓ Compiled in 56ms
 GET /investments 200 in 286ms (compile: 122ms, render: 164ms)
 GET /investments 200 in 270ms (compile: 85ms, render: 184ms)
✓ Compiled in 1ms
 GET /api/accounts 200 in 38ms (compile: 6ms, render: 32ms)
 GET /api/transactions 200 in 52ms (compile: 5ms, render: 46ms)
 GET /accounts 200 in 107ms (compile: 92ms, render: 15ms)
 GET /investments 200 in 50ms (compile: 14ms, render: 36ms)
 GET / 200 in 123ms (compile: 87ms, render: 36ms)
 GET /api/savings-goals 200 in 33ms (compile: 5ms, render: 28ms)
 GET /api/savings-goals 200 in 52ms (compile: 3ms, render: 49ms)
✓ Compiled in 131ms
 GET /api/savings-goals 200 in 53ms (compile: 6ms, render: 47ms)
 GET /api/savings-goals 200 in 51ms (compile: 8ms, render: 43ms)
✓ Compiled in 108ms
 GET / 200 in 136ms (compile: 95ms, render: 41ms)
 GET / 200 in 212ms (compile: 4ms, render: 208ms)
 GET /api/savings-goals 200 in 91ms (compile: 2ms, render: 89ms)
 GET /api/accounts 200 in 80ms (compile: 16ms, render: 64ms)
 GET /api/savings-goals 200 in 82ms (compile: 24ms, render: 58ms)
 GET /api/savings-goals 200 in 83ms (compile: 29ms, render: 54ms)
 GET /api/transactions 200 in 100ms (compile: 5ms, render: 95ms)
 GET /accounts/1 200 in 764ms (compile: 683ms, render: 81ms)
 GET /api/accounts/1 200 in 254ms (compile: 33ms, render: 221ms)
 GET /api/accounts/1 200 in 257ms (compile: 11ms, render: 246ms)
 GET / 200 in 70ms (compile: 29ms, render: 41ms)
 GET /api/savings-goals 200 in 18ms (compile: 3ms, render: 15ms)
 GET /api/savings-goals 200 in 53ms (compile: 10ms, render: 43ms)
 GET / 200 in 102ms (compile: 17ms, render: 85ms)
 GET /api/savings-goals 200 in 248ms (compile: 12ms, render: 236ms)
 GET /api/savings-goals 200 in 220ms (compile: 66ms, render: 154ms)
 GET /api/accounts 200 in 225ms (compile: 2ms, render: 222ms)
 GET /api/savings-goals 200 in 229ms (compile: 37ms, render: 192ms)
 GET /api/transactions 200 in 301ms (compile: 75ms, render: 226ms)
 GET /buckets 200 in 207ms (compile: 183ms, render: 25ms)
 GET /api/savings-goals 200 in 52ms (compile: 2ms, render: 50ms)
 GET /api/savings-goals 200 in 53ms (compile: 11ms, render: 41ms)
 GET /investments 200 in 121ms (compile: 91ms, render: 30ms)
 GET /reports 200 in 170ms (compile: 144ms, render: 25ms)
 GET / 200 in 24ms (compile: 4ms, render: 20ms)
 GET /api/savings-goals 200 in 71ms (compile: 4ms, render: 67ms)
 GET /api/savings-goals 200 in 59ms (compile: 6ms, render: 54ms)
 GET / 200 in 15ms (compile: 3ms, render: 12ms)
 GET /api/savings-goals 200 in 22ms (compile: 1879µs, render: 20ms)
 GET /api/savings-goals 200 in 13ms (compile: 2ms, render: 10ms)
